№,Название,Цена
92,"ель искусственная (сосна) Перламутровая на натуральном пне 1,5м зеленая заснеженная",15 699₽/шт.
93,"ель искусственная Милания 1,8м зелёная",10 999₽/шт.
94,"ель искусственная Милания 1,5м зелёная",8 799₽/шт.
95,"ель искусственная Милания 1,2м зелёная",5 519₽/шт.
96,елка искусственная Элла 150см,13 090₽/шт.
97,елка искусственная Элла 120см,8 490₽/шт.
98,ель искусственная Туя голубая заснеженная с шишками и ягодами 90см,2 299₽/шт.
99,венок новогодний 35см с шишками красными ягодами и корицей,2 590₽/шт.
100,венок новогодний 35см с шишками белыми ягодами и корицей,2 590₽/шт.
101,венок новогодний MAXIJOY 45см с ягодками и шишками,1 990₽/шт.
102,ветка новогодняя 55см без декора зеленый,329₽/шт.
103,ветка новогодняя 50см заснеженная с шишками и ягодами,449₽/шт.
104,ветка новогодняя MAXIJOY Красное перо 55см,249₽/шт.
105,ветка новогодняя MAXIJOY Золотое перо 55см,249₽/шт.
106,ветка новогодняя MAXIJOY Красное перо 71см,199₽/шт.
107,ветка новогодняя MAXIJOY Серебряное перо 71см,199₽/шт.
108,ветка новогодняя MAXIJOY Золотое перо 71см,199₽/шт.
109,украшение декоративное Ветка 88см шампань,149₽/шт.
110,украшение декоративное Ветка 88см перламутр,149₽/шт.
111,"украшение интерьерное Ветка с шариками 3,5х8х47см",149₽/шт.
112,украшение новогоднее Ветка 4х17х37см,329₽/шт.
113,украшение интерьерное Лист 41х20см,199₽/шт.
114,украшение интерьерное Ветка стиль  87х16см,439₽/шт.
115,гирлянда новогодняя Хвоя 20 LED ламп 270см теплый белый 1 режим 2 элемента питания AA,1 490₽/шт.
116,"украшение шар хвойный, зеленый, 15 см",449₽/шт.
117,ель искусственная заснеженная в букете 15см пластик,399₽/шт.
118,ель искусственная заснеженная в горшке 14см,429₽/шт.
119,композиция подвесная Желудь 12см золото,499₽/шт.
120,композиция подвесная Шишка декоративная 12см красный,499₽/шт.
121,композиция подвесная Желудь 12см серебро,499₽/шт.
122,композиция подвесная Шар хвойный 20см зеленый,629₽/шт.
123,композиция в джуте Ель 35см с ягодами и шишками,899₽/шт.
124,композиция в кашпо Еловая с шишками и ягодами 19 см,1 490₽/шт.
125,композиция в кашпо Еловая с шишками и ягодами 19см красный,1 490₽/шт.
126,композиция в кашпо Еловая с шишками и ягодами 19 см,1 490₽/шт.
